name,energy(kcal),protein,carbohydrates,total sugars,added Sugar,dietary fiber, trans fat,satureted fat,total fat,cholesterol(mg),sodium(mg),Iron(mg),calcium(mg),,,,,,,,,
 MONACO - SALTED SNACK,466,8,71,7,0,2,0,9,19,0,875,3,50, REFINED WHEAT FLOUR (MAIDA), REFINED OILS (PALM AND PALMOLEIN), SUGAR, RAISING AGENTS (503 (ii), 500 (ii),341 (i) j, INVERT SUGAR SYRUP, IODISED SALT (2.5%), YEAST
 Parle-G Gluco BISCUITS,451,7,41,37,0,0,0,6,13,0,356,0.4,20, REFINED WHEAT FLOUR (MAIDA) (68%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP SUGAR, CITRIC ACIDI, IODISED SALT, RAISING AGENTS 1503(1), 500 (6)), MILK SOLIDS
 Krack Jack,496,7,70,24,0,2,0,10,21,0,580,3,40, WHEAT FLOUR, EDIBLE VEGETABLE OILS (PALMOLEIN OIL, PALM OIL 1, SUGAR (17) RAISING AGENTS & 600(8)50000,343) INVERT SUGAR SYRUP, ODISED SALT (0.9%), YEAST, ACIDITY REGULATORS (270 2561, EMULSIFIER ID-ACETYL TARTARIC ACID ESTERS OF MOND AND DI-GLYCERIDES OF EDELE VEGETABLE OILSI
 MAGIX CHOCOLATE FLAVOURED SANDWICH BISCUITS,496,6.5,70,36,0,2,0,10,20,0,400,2,50, REFINED WHEAT FLOUR (MAIDA), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP, COCOA SOLIDS (2.2%), RAISING AGENTS [503 (ii), 500 (ii)], IODISED SALT, AND EMULSIFIER OF VEGETABLE ORIGIN (SOY LECITHIN)
 20 20 NICE SUGAR SPRINKLED COCONUT BISCUITS,487,6.4,70,24,0,2,0,12,20,0,500,3,50, WHEAT FLOUR, SUGAR, EDIBLE VEGETABLE OIL (PALM OIL), DESICCATED COCONUT POWDER (4.9%), SUGAR INVERT SYRUP, SPRINKLED SUGAR (2%), RAISING AGENTS [503 (ii), 500 (ii)), IODISED SALT
 BRITANIA BOURBON,471,6.6,7.3,35,0,2.5,0,8.3,16.5,0,300,1.5,20, REFINED WHEAT FLOUR (MAIDA), SUGAR (35%), EDIBLE VEGE-TABLE OIL(PALM), EDIBLE STARCH, COCOA SOLIDS (2.7%),MILK SOLIDS, RAISING AGENTS [500(II), 50300], EMULSIFIERS(471
 HAPPY HAPPY BISCUITS,491,6.5,70,32,0,2,0,9,19,0,350,2,30, REFINED WHEAT FLOUR (MAIDA), SUGAR, REFINED PALM OIL, CHOCO CHIPS (8%) [ SUGAR, EDIBLE VEGETABLE FAT (HYDROGENATED OILS), COCOA SOLIDS, DEXTROSE, EMULSIFIER OF VEGETABLE ORIGIN (SOYA LECITHIN) AND ARTIFICIAL FLAVOURIN SUBSTANCES (VANILLA)], COCOA SOLIDS (2%)
 Britannia Good Day Cashew Cookies,502,6.7,66.7,22.2,0,1.1,0,10,22.2,0,416,2,20, WHEAT FLOUR, SUGAR, PALM OIL, CASHEW (4.5%), BUTTER (3%) (MILK), INVERT SUGAR, WHOLE MILK POWDER, AMMONIUM BICARBONATE & SODIUM BICARBONATE (LEAVENING), SALT
 Bournvita Biscuits,472,7.3,72,30,0,2.5,0,7.5,16,0,200,4,70, Refined wheat flour (57%), Sugar Paimolein Malt Based Food 5% (Malt Extract Sugar, Cocoa Solids, Milk Solids, Liquid Glucose Emulsifiers (322.471), Vitamins, Leavening Agent (500(II)) Minerals Edible Salt Caramel (150c), Artificial (Vanilla) Flavour) Invert syrup Cocoa Solids (1.4%), Milk Solids (1%)
 Britannia Marie Gold Biscuits,432,7.4,74.5,14.5,0,2.2,0,5.8,11.7,0,580,4,100, REFINED WHEAT FLOUR (MAIDA) (73%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP, MILK SOLIDS, RAISING AGENTS (503(11) & 500 (ii)], IODIZED SALT, EMULSIFIER (472e), CALCIUM SALT
 Oreo Chocolate Creme Biscuit,484,4.3,72.3,37.7,0,2.2,0,9.7,19.5,<2,364,3.7,185, Refined wheat flour Sugar, Edible Vegetable Fat, Palmolein Oil, Cocoa Solids (3%), muert Syrup, Leavening Agents (500(ii),503(ii)), Edible Salt, Emulsifier (322)
 Britannia Treat,490,6,67,32,0,2,0,11,22,0,400,2,20, Jim Jam- Biscuits, REFINED WHEAT FLOUR (MAIDA), SUGAR (23%), EDIBLE VEGETABLE OIL (PALM) & INTERESTERIFIED VEGETABLE FAT, INVERT SYRUP, DEXTROSE, MILK SOLIDS, EDIBLE STARCH, MALTODEXTRIN
 Patanjali Digestive Biscuits,477.37,8.81,59.11,20.7,20,6.32,0,10.16,21.45,0,140,0,0, Wheat flour (Atta-58%), Edible Vegetable Oil (Palm Oil), Sugar, Wheat Bran (3%), Invert Sugar Syrup, Raising Agent [INS 500 (ii), INS 503 (ii), INS 341(i)], lodized Salt
 FAB VANILLA FLAVOURED CREME SANDWICH BISCUITS,474,4.6,75.2,44.5,44.4,2,0,8,17.1,0,177,Not defiend,Not defined, SUGAR, REFINED WHEAT FLOUR (MAIDA), REFINED PALM OIL, COCOA SOLIDS (4.5%), INVERT SUGAR SYRUP, IODISED SALT, RAISING AGENTS [503(ii), 500(ii)] AND EMULSIFIER OF VEGETABLE ORIGIN [SOY LECITHIN ], CONTAINS PERMITTED NATURAL COLOUR [150d] AND ADDED FLAVOURS (ARTIFICIAL FLAVOURING SUBSTANCES - CHOCOLATE
 HIDE & SEEK BISCUITS,489,6.1,66.5,28.7,0,3.4,0,10.4,22.2,0,476,3.4,60, WHEAT FLOUR, CHOCOLATE (23%) [ SUGAR, COCOA SOLIDS, COCOA BUTTER, DEXTROSE, EMULSIFIER (LECITHIN OF SOYA ORIGIN) AND ADDED FLAVOUR (ARTIFICIAL FLAVOURING SUBSTANCES - VANILLA)], SUGAR, EDIBLE VEGETABLE OIL (PALM OIL), INVERT SUGAR SYRUP
 Sunfeast Dark Fantasy,512,6.9,59.1,74.5,0,3.7,0,16.5,27.7,0,350,4,100, CHOCO CRÃˆME (38%) {SUGAR, REFINED PALMOLEIN, REFINED PALM OIL, COCOA SOLIDS (5.3%), EMULSIFIER [LECITHIN (FROM SOYABEAN)], NATURE IDENTICAL FLAVOURING SUBSTANCES - CHOCOLATE AND ARTIFICIAL FLAVOURING SUBSTANCES - VANILLA}, REFINED WHEAT FLOUR (MAIDA), HYDROGENATED VEGETABLE OILS, SUGAR
 Unibic Cookies,497,6.8,64,28,0,2,0,13.5,22,0,Not defined,Not defiend,Not defined, Cereal Products (43%) (Wheat Flour, Oats, Rice, Ragi, Corn), Sugar, Edible Vegetable Oil (Palm), Dry Fruits (8.5%) (Black Currant, Papaya
 Sunfeast Moms Magic Cashew & Almond Biscuits,503,7.8,66.8,22.8,0,2,0,10.3,22.9,0,Not defined,Not defiend,Not defined, REFINED WHEAT FLOUR (MAIDA), SUGAR, REFINED PALM OIL, CASHEW NUT (2.2%), ALMOND (2.2%), INVERT SYRUP, RAISING AGENTS (INS 500(ii), INS 503(ii), INS 450(1))
 Britannia Tiger Glucose Biscuit,421,7.5,75,18,0,3,0,4.5,9,0,500,4,100, REFINED WHEAT FLOUR (MAIDA) (66%), SUGAR, EDIBLE VEGETABLE OIL (PALM), INVERT SYRUP, RAISING AGENTS [503(ii), 500(ii)], IODISED SALT, MILK SOLIDS (0.26%), EMULSIFIERS (322
 Britannia Treat Funky Choco Biscuits,492,5,73,36.5,0,Not defiend,0,12,20,0,Not defined,Not defiend,Not defined, REFINED WHEAT FLOUR (MAIDA), SUGAR, EDIBLE VEGETABLE OIL (PALM) & INTERESTERIFIED VEGETABLE FAT, COCOA SOLIDS (6%), INVERT SYRUP, RAISING AGENTS (500(ii), 503(ii)), IODISED SALT, EDIBLE STARCH AND EMULSIFIER (322)
